Day fraction since midnight on 5/8/2018,Sec,Min,Source Pressure (Pa),Turbidity Effluent (),Turbidimeter Influent (),BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.48237907,570.001536,9.5000256,31947.99414,1.3,9.0841,0.99999947,0.14210526,0.80305263
0.48243694,575.001504,9.5833584,31943.29883,1.3,9.1418,0.99999947,0.14210526,0.80305263
0.4824948,580.000608,9.6666768,31923.79102,1.3,8.9227,0.99999947,0.14210526,0.80305263
0.48255267,585.000576,9.7500096,31887.98242,1.3,8.8727,0.99999947,0.14210526,0.80305263
0.48261054,590.000544,9.8333424,31930.6875,1.3,8.7381,0.99999947,0.14210526,0.80305263
0.4826684,594.999648,9.9166608,31940.35742,1.3,8.6248,0.99999947,0.14210526,0.80305263
0.48272629,600.001344,10.0000224,31928.0957,1.3,8.7875,0.99999947,0.14210526,0.80305263
0.48278416,605.001312,10.0833552,31900.88086,1.3,8.923,0.99999947,0.14210526,0.80305263
0.48284203,610.00128,10.166688,31908.14648,1.3,8.8751,0.99999947,0.14210526,0.80305263
0.48289989,615.000384,10.2500064,31909.00195,1.3,9.051,0.99999947,0.14210526,0.80305263
0.48295776,620.000352,10.3333392,31874.01758,1.3,9.0745,0.99999947,0.14210526,0.80305263
0.48301564,625.001184,10.4166864,31904.31641,1.3,9.2578,0.99999947,0.14210526,0.80305263
0.48307351,630.001152,10.5000192,31909.90234,1.3,8.9081,0.99999947,0.14210526,0.80305263
0.48313137,635.000256,10.5833376,31908.97656,1.29,8.7246,0.99999947,0.14210526,0.80305263
0.48318925,640.001088,10.6666848,31898.29297,1.29,8.8097,0.99999947,0.14210526,0.80305263
0.48324711,645.000192,10.7500032,31904.94141,1.29,8.5839,0.99999947,0.14210526,0.80305263
0.48330496,649.998432,10.8333072,31877.13672,1.29,8.3287,0.99999947,0.14210526,0.80305263
0.48336285,655.000128,10.9166688,31903.02344,1.29,8.3288,0.99999947,0.14210526,0.80305263
0.48342071,659.999232,10.9999872,31899.41406,1.29,8.4757,0.99999947,0.14210526,0.80305263
0.48347859,665.000064,11.0833344,31946.04688,1.29,8.6244,0.99999947,0.14210526,0.80305263
0.48353648,670.00176,11.166696,31943.36914,1.29,8.4667,0.99999947,0.14210526,0.80305263
0.48359434,675.000864,11.2500144,31935.83984,1.29,8.4939,0.99999947,0.14210526,0.80305263
0.4836522,679.999968,11.3333328,31991.82617,1.29,8.5993,0.99999947,0.14210526,0.80305263
0.48371007,684.999936,11.4166656,32001.1582,1.29,8.6666,0.99999947,0.14210526,0.80305263
0.48376795,690.000768,11.5000128,31988.94727,1.29,8.6419,0.99999947,0.14210526,0.80305263
0.48382582,695.000736,11.5833456,32044.48438,1.29,8.5187,0.99999947,0.14210526,0.80305263
0.48388368,699.99984,11.666664,32033.74805,1.29,8.6272,0.99999947,0.14210526,0.80305263
0.48394157,705.001536,11.7500256,32058.87109,1.29,8.4313,0.99999947,0.14210526,0.80305263
0.48399938,709.99632,11.833272,32040.83789,1.29,8.1103,0.99999947,0.14210526,0.80305263
0.48405731,715.001472,11.9166912,32069.31836,1.29,8.2637,0.99999947,0.14210526,0.80305263
0.48411518,720.00144,12.000024,31817.92188,1.29,8.4145,0.99999947,0.14210526,0.80305263
0.48417305,725.001408,12.0833568,31782.75781,1.29,8.4315,0.99999947,0.14210526,0.80305263
0.48423091,730.000512,12.1666752,31820.11133,1.29,8.5197,0.99999947,0.14210526,0.80305263
0.48428878,735.00048,12.250008,31821.65625,1.29,8.5099,0.99999947,0.14210526,0.80305263
0.48434665,740.000448,12.3333408,31801.00586,1.29,8.5224,0.99999947,0.14210526,0.80305263
0.48440453,745.00128,12.416688,31836.38281,1.29,8.5421,0.99999947,0.14210526,0.80305263
0.4844624,750.001248,12.5000208,31787.48242,1.29,8.4148,0.99999947,0.14210526,0.80305263
0.48452026,755.000352,12.5833392,31827.85352,1.29,8.2287,0.99999947,0.14210526,0.80305263
0.48457814,760.001184,12.6666864,31573.88867,1.29,8.0496,0.99999947,0.14210526,0.80305263
0.484636,765.000288,12.7500048,31365.48438,1.29,8.1116,0.99999947,0.14210526,0.80305263
0.48469388,770.00112,12.833352,31305.22656,1.28,8.0591,0.99999947,0.14210526,0.80305263
0.48475174,775.000224,12.9166704,31338.9707,1.28,8.1711,0.99999947,0.14210526,0.80305263
0.48480962,780.001056,13.0000176,31369.1543,1.28,8.2891,0.99999947,0.14210526,0.80305263
0.48486749,785.001024,13.0833504,31397.79688,1.28,8.257,0.99999947,0.14210526,0.80305263
0.48492535,790.000128,13.1666688,31388.66016,1.28,8.2096,0.99999947,0.14210526,0.80305263
0.48498324,795.001824,13.2500304,31373.85938,1.28,8.4056,0.99999947,0.14210526,0.80305263
0.48504109,800.000064,13.3333344,31358.50391,1.28,8.2734,0.99999947,0.14210526,0.80305263
0.48509896,805.000032,13.4166672,31386.49023,1.28,8.196,0.99999947,0.14210526,0.80305263
0.48515683,810,13.5,31382.94336,1.28,8.1582,0.99999947,0.14210526,0.80305263
0.4852147,814.999968,13.5833328,31396,1.28,8.099,0.99999947,0.14210526,0.80305263
0.48527257,819.999936,13.6666656,31389.89063,1.28,8.1673,0.99999947,0.14210526,0.80305263
0.48533047,825.002496,13.7500416,31403.49023,1.28,8.2671,0.99999947,0.14210526,0.80305263
0.48538831,829.999872,13.8333312,31387.33789,1.28,8.2342,0.99999947,0.14210526,0.80305263
0.4854462,835.001568,13.9166928,31399.58594,1.28,8.1064,0.99999947,0.14210526,0.80305263
0.48550406,840.000672,14.0000112,31379.44336,1.28,8.0673,0.99999947,0.14210526,0.80305263
0.48556195,845.002368,14.0833728,31391.49805,1.28,7.9407,0.99999947,0.14210526,0.80305263
0.4856198,850.000608,14.1666768,31370.0332,1.28,7.9278,0.99999947,0.14210526,0.80305263
0.48567758,854.9928,14.24988,31370.0332,1.28,8.0567,0.99999947,0.14210526,0.80305263
0.48573549,859.996224,14.3332704,31376.07227,1.28,8.0831,0.99999947,0.14210526,0.80305263
0.48579341,865.000512,14.4166752,31412.86133,1.28,8.0569,0.99999947,0.14210526,0.80305263
0.48585128,870.00048,14.500008,31389.21875,1.28,7.8543,0.99999947,0.14210526,0.80305263
0.48590915,875.000448,14.5833408,31396.36719,1.28,7.8234,0.99999947,0.14210526,0.80305263
0.48596703,880.00128,14.666688,31417.56641,1.28,7.9475,0.99999947,0.14210526,0.80305263
0.4860249,885.001248,14.7500208,31375.54688,1.28,8.1782,0.99999947,0.14210526,0.80305263
0.48608277,890.001216,14.8333536,31400.41211,1.28,8.4266,0.99999947,0.14210526,0.80305263
0.48614064,895.001184,14.9166864,31415.40625,1.28,8.3154,0.99999947,0.14210526,0.80305263
0.4861985,900.000288,15.0000048,31404.51953,1.28,8.0665,0.99999947,0.14210526,0.80305263
0.48625639,905.001984,15.0833664,31395.0957,1.28,7.9894,0.99999947,0.14210526,0.80305263
0.48631425,910.001088,15.1666848,31388.47852,1.28,7.8148,0.99999947,0.14210526,0.80305263
0.48637213,915.00192,15.250032,31367.9082,1.28,8.0304,0.99999947,0.14210526,0.80305263
0.48642998,920.00016,15.333336,31395.14844,1.28,8.1351,0.99999947,0.14210526,0.80305263
0.48648785,925.000128,15.4166688,31399.18164,1.28,8.346,0.99999947,0.14210526,0.80305263
0.48654573,930.00096,15.500016,31388.22656,1.28,9.2058,0.99999947,0.14210526,0.80305263
0.48660359,935.000064,15.5833344,31378.10156,1.28,8.7232,0.99999947,0.14210526,0.80305263
0.48666146,940.000032,15.6666672,31406.4668,1.28,8.3904,0.99999947,0.14210526,0.80305263
0.48671934,945.000864,15.7500144,31409.58789,1.28,8.4041,0.99999947,0.14210526,0.80305263
0.48677721,950.000832,15.8333472,31398.07813,1.28,8.4317,0.99999947,0.14210526,0.80305263
0.48683508,955.0008,15.91668,31415.23047,1.28,8.3462,0.99999947,0.14210526,0.80305263
0.48689294,959.999904,15.9999984,31396.83789,1.28,8.3184,0.99999947,0.14210526,0.80305263
0.48695081,964.999872,16.0833312,31423.10742,1.28,8.1665,0.99999947,0.14210526,0.80305263
0.48700866,969.998112,16.1666352,31432.74023,1.28,8.071,0.99999947,0.14210526,0.80305263
0.48706657,975.001536,16.2500256,31407.52148,1.28,8.0227,0.99999947,0.14210526,0.80305263
0.48712437,979.995456,16.3332576,31430.60547,1.28,8.1357,0.99999947,0.14210526,0.80305263
0.48718231,985.001472,16.4166912,31405.58203,1.28,8.1709,0.99999947,0.14210526,0.80305263
0.48724018,990.00144,16.500024,31402.16211,1.28,8.1029,0.99999947,0.14210526,0.80305263
0.48729804,995.000544,16.5833424,31417.02148,1.28,8.2321,0.99999947,0.14210526,0.80305263
0.48735591,1000.000512,16.6666752,31436.24219,1.28,8.2606,0.99999947,0.14210526,0.80305263
0.48741378,1005.00048,16.750008,31479.11328,1.28,8.3516,0.99999947,0.14210526,0.80305263
0.48747164,1009.999584,16.8333264,31493.26172,1.28,8.3452,0.99999947,0.14210526,0.80305263
0.48752952,1015.000416,16.9166736,31514.04297,1.28,8.5513,0.99999947,0.14210526,0.80305263
0.48758738,1019.99952,16.999992,31559.70313,1.28,8.4594,0.99999947,0.14210526,0.80305263
0.48764527,1025.001216,17.0833536,31558.99219,1.28,8.2928,0.99999947,0.14210526,0.80305263
0.48770313,1030.00032,17.166672,31571.06836,1.28,8.4174,0.99999947,0.14210526,0.80305263
0.48776101,1035.001152,17.2500192,31594.96289,1.28,8.3897,0.99999947,0.14210526,0.80305263
0.48781886,1039.999392,17.3333232,31632.76758,1.28,8.2401,0.99999947,0.14210526,0.80305263
0.48787677,1045.002816,17.4167136,31652.5,1.28,8.1756,0.99999947,0.14210526,0.80305263
0.48793462,1050.001056,17.5000176,31691.08203,1.28,8.0455,0.99999947,0.14210526,0.80305263
0.48799249,1055.001024,17.5833504,31669.83789,1.28,8.0623,0.99999947,0.14210526,0.80305263
0.48805035,1060.000128,17.6666688,31722.73047,1.28,8.0976,0.99999947,0.14210526,0.80305263
0.48810822,1065.000096,17.7500016,31759.40039,1.28,7.9494,0.99999947,0.14210526,0.80305263
0.4881661,1070.000928,17.8333488,31762.81836,1.28,8.0201,0.99999947,0.14210526,0.80305263
0.48822397,1075.000896,17.9166816,31779.00195,1.28,8.4075,0.99999947,0.14210526,0.80305263
0.48828181,1079.998272,17.9999712,31812.9668,1.28,8.192,0.99999947,0.14210526,0.80305263
0.4883397,1084.999968,18.0833328,31826.08984,1.28,7.9669,0.99999947,0.14210526,0.80305263
