Day fraction,Seconds,Min,Source Pressure (Pa),Turbidity Effluent,Turbidity Influent,BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.56027256,835.000704,13.9166784,30899.50586,1.28,5.045,0.99999947,0.14210526,0.80305263
0.56033042,839.999808,13.9999968,30932.06445,1.28,4.9776,0.99999947,0.14210526,0.80305263
0.5603883,845.00064,14.083344,30909.16016,1.28,5.0123,0.99999947,0.14210526,0.80305263
0.56044619,850.002336,14.1667056,30918.81445,1.28,5.0428,0.99999947,0.14210526,0.80305263
0.56050405,855.00144,14.250024,30938.28125,1.28,5.0132,0.99999947,0.14210526,0.80305263
0.5605619,859.99968,14.333328,30937.02539,1.28,4.977,0.99999947,0.14210526,0.80305263
0.56061978,865.000512,14.4166752,30953.94922,1.28,4.8879,0.99999947,0.14210526,0.80305263
0.56067766,870.001344,14.5000224,30933.37695,1.28,4.8856,0.99999947,0.14210526,0.80305263
0.56073554,875.002176,14.5833696,30956.77148,1.28,4.9491,0.99999947,0.14210526,0.80305263
0.56079338,879.999552,14.6666592,30944.10352,1.28,4.9759,0.99999947,0.14210526,0.80305263
0.56085127,885.001248,14.7500208,30946.72656,1.28,5.0134,0.99999947,0.14210526,0.80305263
0.56090914,890.001216,14.8333536,30963.57031,1.28,4.9872,0.99999947,0.14210526,0.80305263
0.560967,895.00032,14.916672,30960.79492,1.28,4.9319,0.99999947,0.14210526,0.80305263
0.56102487,900.000288,15.0000048,30974.31055,1.28,4.9888,0.99999947,0.14210526,0.80305263
0.56108274,905.000256,15.0833376,30965.97461,1.28,4.9958,0.99999947,0.14210526,0.80305263
0.5611406,909.99936,15.166656,30949.49219,1.28,5.0375,0.99999947,0.14210526,0.80305263
0.56119849,915.001056,15.2500176,30951.38086,1.28,5.1529,0.99999947,0.14210526,0.80305263
0.56125636,920.001024,15.3333504,30965.1582,1.28,5.0991,0.99999947,0.14210526,0.80305263
0.56131423,925.000992,15.4166832,30933.81836,1.28,5.0543,0.99999947,0.14210526,0.80305263
0.56137211,930.001824,15.5000304,30942.79883,1.28,4.9691,0.99999947,0.14210526,0.80305263
0.56142996,935.000064,15.5833344,30970.88086,1.28,5.1402,0.99999947,0.14210526,0.80305263
0.56148784,940.000896,15.6666816,30934.20313,1.28,5.0812,0.99999947,0.14210526,0.80305263
0.56154571,945.000864,15.7500144,30937.68359,1.28,5.0011,0.99999947,0.14210526,0.80305263
0.56160356,949.999104,15.8333184,30938.55859,1.28,5.0948,0.99999947,0.14210526,0.80305263
0.56166143,954.999072,15.9166512,30931.03516,1.28,5.1798,0.99999947,0.14210526,0.80305263
0.56171934,960.002496,16.0000416,30883.22266,1.28,5.0833,0.99999947,0.14210526,0.80305263
0.56177719,965.000736,16.0833456,30942.36328,1.28,5.0462,0.99999947,0.14210526,0.80305263
0.56183507,970.001568,16.1666928,30918.9707,1.28,5.0064,0.99999947,0.14210526,0.80305263
0.56189292,974.999808,16.2499968,30905.52539,1.28,5.0966,0.99999947,0.14210526,0.80305263
0.5619508,980.00064,16.333344,30877.38477,1.28,5.1236,0.99999947,0.14210526,0.80305263
0.56200868,985.001472,16.4166912,30884.33203,1.28,5.1053,0.99999947,0.14210526,0.80305263
0.56206653,989.999712,16.4999952,30894.34961,1.28,5.1892,0.99999947,0.14210526,0.80305263
0.56212442,995.001408,16.5833568,30848.94727,1.28,5.2093,0.99999947,0.14210526,0.80305263
0.56218227,999.999648,16.6666608,30888.37695,1.28,5.1976,0.99999947,0.14210526,0.80305263
0.56224015,1005.00048,16.750008,30865.41016,1.28,5.1648,0.99999947,0.14210526,0.80305263
0.56229804,1010.002176,16.8333696,30861.98828,1.28,5.2012,0.99999947,0.14210526,0.80305263
0.56235589,1015.000416,16.9166736,30844.61914,1.28,5.1586,0.99999947,0.14210526,0.80305263
0.56241377,1020.001248,17.0000208,30857.66992,1.28,5.0852,0.99999947,0.14210526,0.80305263
