Day fraction,Seconds,Min,Source Pressure (Pa),Turbidity Effluent,Turbidity Influent,BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.68243688,1045.001952,17.4166992,34251.07422,1.29,5.5882,0.99999947,0.14210526,0.80305263
0.68249473,1050.000192,17.5000032,34209.30469,1.29,5.6529,0.99999947,0.14210526,0.80305263
0.68255262,1055.001888,17.5833648,34238.01172,1.29,5.8055,0.99999947,0.14210526,0.80305263
0.68261051,1060.003584,17.6667264,34186.98438,1.29,5.7381,0.99999947,0.14210526,0.80305263
0.68266835,1065.00096,17.750016,34185.48438,1.29,5.5687,0.99999947,0.14210526,0.80305263
0.68272622,1070.000928,17.8333488,34189.95313,1.29,6.046,0.99999947,0.14210526,0.80305263
0.68278408,1075.000032,17.9166672,34176.04297,1.29,5.9142,0.99999947,0.14210526,0.80305263
0.68284197,1080.001728,18.0000288,34170.91797,1.29,6.1043,0.99999947,0.14210526,0.80305263
0.68289983,1085.000832,18.0833472,34149.07031,1.29,6.157,0.99999947,0.14210526,0.80305263
0.68295772,1090.002528,18.1667088,34158.28125,1.29,6.0442,0.99999947,0.14210526,0.80305263
0.68301556,1094.999904,18.2499984,34148.1875,1.29,6.0093,0.99999947,0.14210526,0.80305263
0.68307344,1100.000736,18.3333456,34131.5,1.29,5.9846,0.99999947,0.14210526,0.80305263
0.68313132,1105.001568,18.4166928,34126.15234,1.29,6.0589,0.99999947,0.14210526,0.80305263
0.6831892,1110.0024,18.50004,34106.81641,1.29,5.8103,0.99999947,0.14210526,0.80305263
0.68324706,1115.001504,18.5833584,34104.25781,1.29,5.8511,0.99999947,0.14210526,0.80305263
0.68330493,1120.001472,18.6666912,34084.08984,1.29,5.8636,0.99999947,0.14210526,0.80305263
0.68336279,1125.000576,18.7500096,34062.03125,1.29,5.8216,0.99999947,0.14210526,0.80305263
0.68342068,1130.002272,18.8333712,34071.01172,1.29,5.9034,0.99999947,0.14210526,0.80305263
0.68347853,1135.000512,18.9166752,34051.53906,1.29,5.7775,0.99999947,0.14210526,0.80305263
0.6835364,1140.00048,19.000008,34054.32813,1.29,5.9047,0.99999947,0.14210526,0.80305263
0.68359421,1144.995264,19.0832544,34052.84375,1.29,5.8086,0.99999947,0.14210526,0.80305263
0.68365215,1150.00128,19.166688,34020.27734,1.29,5.8539,0.99999947,0.14210526,0.80305263
0.68370999,1154.998656,19.2499776,34005.26563,1.29,5.6595,0.99999947,0.14210526,0.80305263
0.68376789,1160.001216,19.3333536,34003.32031,1.29,5.668,0.99999947,0.14210526,0.80305263
0.68382574,1164.999456,19.4166576,33977.60156,1.29,5.6284,0.99999947,0.14210526,0.80305263
0.68388363,1170.001152,19.5000192,34004.87109,1.29,5.7497,0.99999947,0.14210526,0.80305263
0.6839415,1175.00112,19.583352,33982.33203,1.29,5.769,0.99999947,0.14210526,0.80305263
0.68399936,1180.000224,19.6666704,33953.33984,1.29,5.7253,0.99999947,0.14210526,0.80305263
0.68405725,1185.00192,19.750032,33962.79297,1.29,5.5576,0.99999947,0.14210526,0.80305263
0.68411513,1190.002752,19.8333792,33933.04688,1.29,5.7327,0.99999947,0.14210526,0.80305263
0.68417298,1195.000992,19.9166832,33944.82422,1.29,5.8265,0.99999947,0.14210526,0.80305263
0.68423087,1200.002688,20.0000448,33933.21484,1.29,5.7715,0.99999947,0.14210526,0.80305263
0.68428872,1205.000928,20.0833488,33918.23438,1.29,5.7463,0.99999947,0.14210526,0.80305263
0.68434659,1210.000896,20.1666816,33911.41797,1.29,5.7546,0.99999947,0.14210526,0.80305263
0.68440447,1215.001728,20.2500288,33909.67188,1.29,5.7341,0.99999947,0.14210526,0.80305263
0.68446233,1220.000832,20.3333472,33884.78516,1.29,5.8804,0.99999947,0.14210526,0.80305263
0.68452019,1224.999936,20.4166656,33891.4375,1.29,5.8524,0.99999947,0.14210526,0.80305263
0.68457808,1230.001632,20.5000272,33890.59375,1.29,5.962,0.99999947,0.14210526,0.80305263
0.68463594,1235.000736,20.5833456,33885.50391,1.29,5.9833,0.99999947,0.14210526,0.80305263
0.68469382,1240.001568,20.6666928,33878.86328,1.29,5.8761,0.99999947,0.14210526,0.80305263
0.68475168,1245.000672,20.7500112,33848.38672,1.29,5.7808,0.99999947,0.14210526,0.80305263
0.68480956,1250.001504,20.8333584,33850.92969,1.29,5.8823,0.99999947,0.14210526,0.80305263
0.68486743,1255.001472,20.9166912,33826.32031,1.29,5.7477,0.99999947,0.14210526,0.80305263
0.6849253,1260.00144,21.000024,33825.26953,1.29,5.7798,0.99999947,0.14210526,0.80305263
0.68498317,1265.001408,21.0833568,33817.32422,1.29,5.6912,0.99999947,0.14210526,0.80305263
0.68504105,1270.00224,21.166704,33802.12109,1.29,5.8147,0.99999947,0.14210526,0.80305263
0.68509891,1275.001344,21.2500224,33785.41406,1.29,5.6503,0.99999947,0.14210526,0.80305263
0.68515678,1280.001312,21.3333552,33776.61328,1.29,5.6607,0.99999947,0.14210526,0.80305263
0.68521464,1285.000416,21.4166736,33761.1875,1.29,5.6151,0.99999947,0.14210526,0.80305263
0.68527252,1290.001248,21.5000208,33769.28125,1.29,5.5933,0.99999947,0.14210526,0.80305263
0.68533038,1295.000352,21.5833392,33779.18359,1.29,5.7119,0.99999947,0.14210526,0.80305263
0.68538825,1300.00032,21.666672,33742.33984,1.29,5.7836,0.99999947,0.14210526,0.80305263
0.68544613,1305.001152,21.7500192,33735.46875,1.29,5.6264,0.99999947,0.14210526,0.80305263
0.68550399,1310.000256,21.8333376,33737.61719,1.29,5.5543,0.99999947,0.14210526,0.80305263
